Sexo,Altura(m),Peso(kg)
M,1.78,79.1
M,1.83,98.1
M,1.77,85.2
M,1.8,91.1
M,1.8,82.4
M,1.73,85.9
M,1.86,92.3
M,1.91,99.1
M,1.84,93.1
M,1.68,80.0
M,1.57,71.0
M,1.83,90.6
M,1.59,67.5
M,1.73,84.6
M,1.77,91.4
M,1.6,68.3
M,1.81,89.6
M,1.71,85.1
M,1.72,87.2
M,1.76,79.5
M,1.75,91.5
M,1.7,92.3
M,1.71,85.0
M,1.72,79.1
M,1.74,81.6
M,1.82,89.8
M,1.86,95.5
M,1.76,76.9
M,1.82,99.9
M,1.67,77.7
M,1.85,94.5
M,1.71,80.8
M,1.8,87.2
M,1.78,85.7
M,1.67,80.8
M,1.8,83.7
M,1.82,89.8
M,1.78,83.8
M,1.71,79.8
M,1.65,63.7
M,1.75,85.1
M,1.8,83.7
M,1.8,86.5
M,1.73,80.3
M,1.77,84.5
M,1.61,72.8
M,1.69,74.4
M,1.8,87.0
M,1.71,82.3
M,1.79,102.4
M,1.76,89.0
M,1.75,84.8
M,1.81,89.2
M,1.91,99.4
M,1.74,79.0
M,1.7,72.0
M,1.79,84.4
M,1.7,72.5
M,1.72,81.1
M,1.85,91.3
M,1.84,79.5
M,1.79,86.1
M,1.74,86.3
M,1.73,87.3
M,1.61,62.0
M,1.62,73.3
M,1.77,88.6
M,1.76,88.3
M,1.8,81.0
M,1.79,89.0
M,1.76,81.4
M,1.75,85.1
M,1.84,92.9
M,1.74,88.3
M,1.82,89.2
M,1.85,91.0
M,1.75,84.6
M,1.79,90.9
M,1.79,95.1
M,1.55,57.1
M,1.8,92.8
M,1.72,87.3
M,1.84,101.9
M,1.78,90.1
M,1.66,73.8
M,1.76,85.0
M,1.79,85.6
M,1.76,91.0
M,1.75,88.1
M,1.67,85.4
M,1.78,79.9
M,1.89,99.1
M,1.87,101.2
M,1.75,81.9
M,1.76,86.8
M,1.83,95.5
M,1.76,89.1
M,1.76,93.5
M,1.64,76.0
M,1.77,85.1
M,1.83,92.1
M,1.81,93.2
M,1.75,84.7
M,1.79,94.1
M,1.82,91.4
M,1.83,92.0
M,1.63,69.8
M,1.73,73.7
M,1.81,87.5
M,1.73,84.5
M,1.73,81.3
M,1.68,72.1
M,1.64,80.4
M,1.64,73.3
M,1.71,72.0
M,1.83,83.8
M,1.73,75.9
M,1.77,84.8
M,1.82,89.0
M,1.73,78.3
M,1.74,93.4
M,1.76,87.1
M,1.6,63.2
M,1.62,76.7
M,1.82,85.8
M,1.79,91.4
M,1.79,88.0
M,1.74,76.3
M,1.8,84.4
M,1.81,93.7
M,1.78,84.4
M,1.55,63.6
M,1.82,90.7
M,1.81,89.5
M,1.81,94.2
M,1.79,82.9
M,1.84,98.0
M,1.72,76.1
M,1.72,81.7
M,1.82,86.4
M,1.85,89.1
M,1.79,85.5
M,1.86,98.5
M,1.79,89.4
M,1.74,80.2
M,1.59,65.5
M,1.76,99.3
M,1.83,92.5
M,1.83,93.4
M,1.85,92.7
M,1.72,80.9
M,1.78,90.8
M,1.74,78.8
M,1.82,92.1
M,1.66,66.2
M,1.65,75.4
M,1.74,90.9
M,1.92,100.8
M,1.79,98.7
M,1.8,88.6
M,1.71,80.8
M,1.71,84.5
M,1.84,92.7
M,1.72,77.9
M,1.82,90.8
M,1.55,69.1
M,1.73,82.3
M,1.74,79.8
M,1.72,84.2
M,1.84,93.7
M,1.76,85.0
M,1.77,90.8
M,1.7,81.9
M,1.73,85.2
M,1.88,93.2
M,1.79,90.3
M,1.74,85.2
M,1.91,113.5
M,1.68,83.5
M,1.72,84.9
M,1.53,60.3
M,1.8,87.9
M,1.65,75.2
M,1.68,81.9
M,1.75,87.0
M,1.71,84.3
M,1.76,94.9
M,1.77,83.3
M,1.73,92.2
M,1.8,86.6
M,1.73,86.6
M,1.67,77.2
M,1.79,88.5
M,1.75,89.2
M,1.72,75.3
M,1.62,71.4
M,1.77,91.4
M,1.77,85.4
M,1.78,83.5
M,1.73,74.3
M,1.83,94.0
M,1.86,95.8
M,1.88,93.7
M,1.7,77.8
M,1.67,75.6
M,1.62,71.4
M,1.72,86.1
M,1.73,82.9
M,1.69,74.7
M,1.76,91.1
M,1.67,79.1
M,1.74,88.2
M,1.92,96.2
M,1.72,85.0
M,1.72,79.7
M,1.69,73.8
M,1.65,73.9
M,1.76,81.9
M,1.73,83.9
M,1.71,77.3
M,1.77,86.3
M,1.84,94.9
M,1.71,82.8
M,1.78,89.1
M,1.82,97.9
M,1.65,76.8
M,1.53,66.7
M,1.81,87.3
M,1.75,92.0
M,1.87,95.9
M,1.74,82.1
M,1.89,95.3
M,1.71,79.2
M,1.74,85.8
M,1.77,85.3
M,1.75,69.6
M,1.69,81.2
M,1.75,84.4
M,1.71,80.8
M,1.65,74.5
M,1.81,96.4
M,1.75,79.2
M,1.78,89.1
M,1.88,98.4
M,1.75,83.3
M,1.75,88.5
M,1.73,75.4
M,1.67,81.2
M,1.64,71.2
M,1.79,87.1
M,1.81,90.0
M,1.8,83.1
M,1.66,71.9
M,1.77,84.6
M,1.78,89.9
M,1.74,83.8
M,1.76,75.4
M,1.79,86.0
M,1.76,90.4
M,1.77,86.9
M,1.71,82.4
M,1.64,75.6
M,1.7,87.1
M,1.78,90.8
M,1.69,77.4
M,1.56,62.0
M,1.73,88.1
M,1.76,99.0
M,1.78,88.8
M,1.78,82.4
M,1.75,82.0
M,1.8,93.2
M,1.75,83.2
M,1.74,83.5
M,1.78,87.1
M,1.83,87.9
M,1.82,91.0
M,1.74,80.9
M,1.69,74.3
M,1.75,93.9
M,1.75,84.2
M,1.84,97.0
M,1.66,78.2
M,1.79,95.6
M,1.83,95.2
M,1.8,97.6
M,1.77,87.1
M,1.76,90.8
M,1.84,90.6
M,1.67,86.9
M,1.67,76.1
M,1.79,92.9
M,1.66,75.9
M,1.78,97.1
M,1.63,66.8
M,1.7,80.8
M,1.88,109.2
M,1.75,95.8
M,1.78,89.1
M,1.71,77.3
M,1.89,96.9
M,1.78,81.8
M,1.75,81.6
M,1.72,80.9
M,1.8,91.3
M,1.79,86.4
M,1.76,87.0
M,1.8,88.1
M,1.63,72.4
M,1.79,91.5
M,1.77,84.2
M,1.74,82.7
M,1.7,80.6
M,1.7,81.8
M,1.77,83.4
M,1.69,71.5
M,1.79,93.1
M,1.63,74.4
M,1.65,65.6
M,1.73,80.7
M,1.83,94.2
M,1.75,83.7
M,1.8,85.6
M,1.8,87.7
M,1.82,94.7
M,1.67,73.6
M,1.74,87.8
M,1.78,82.7
M,1.7,75.5
M,1.84,92.1
M,1.8,88.3
M,1.74,77.7
M,1.82,91.3
M,1.75,87.2
M,1.76,88.2
M,1.78,90.5
M,1.74,84.4
M,1.69,82.0
M,1.79,96.8
M,1.84,91.6
M,1.79,86.1
M,1.65,71.5
M,1.73,80.3
M,1.78,93.9
M,1.87,94.7
M,1.62,71.1
M,1.58,58.6
M,1.83,91.7
M,1.89,100.8
M,1.78,98.4
M,1.83,91.6
M,1.73,79.4
M,1.73,84.4
M,1.81,85.7
M,1.85,99.3
M,1.77,87.5
M,1.72,85.4
M,1.71,81.7
M,1.61,68.4
M,1.66,79.3
M,1.76,87.5
M,1.75,84.7
M,1.76,85.3
M,1.75,78.2
M,1.71,88.5
M,1.66,69.1
M,1.77,79.0
M,1.65,71.2
M,1.75,87.1
M,1.7,82.6
M,1.7,76.2
M,1.71,86.1
M,1.79,88.1
M,1.66,79.9
M,1.7,72.3
M,1.7,78.7
M,1.83,93.2
M,1.63,74.0
M,1.57,67.1
M,1.8,91.7
M,1.7,75.7
M,1.76,76.4
M,1.71,85.6
M,1.82,96.1
M,1.83,92.5
M,1.87,98.2
M,1.63,73.4
M,1.8,88.5
M,1.79,92.3
M,1.71,77.7
M,1.76,84.9
M,1.75,86.1
M,1.8,90.9
M,1.69,71.4
M,1.72,78.8
M,1.74,83.2
M,1.77,87.6
M,1.77,85.7
M,1.69,79.8
M,1.85,99.4
M,1.82,86.2
M,1.82,89.8
M,1.64,74.9
M,1.77,84.5
M,1.78,85.1
M,1.7,71.4
M,1.78,84.2
M,1.66,71.7
M,1.64,62.6
M,1.73,82.3
M,1.78,80.5
M,1.74,86.9
M,1.71,83.0
M,1.83,87.6
M,1.83,82.2
M,1.74,81.0
M,1.74,85.0
M,1.72,87.5
M,1.77,85.9
M,1.83,88.4
M,1.81,89.3
M,1.77,79.6
M,1.76,89.0
M,1.71,84.9
M,1.83,90.3
M,1.77,93.4
M,1.72,83.6
M,1.65,72.2
M,1.75,82.0
M,1.76,87.4
M,1.6,73.8
M,1.77,89.6
M,1.78,88.5
M,1.65,66.1
M,1.94,112.2
M,1.69,75.3
M,1.74,81.4
M,1.82,90.6
M,1.71,90.1
M,1.78,89.0
M,1.85,93.6
M,1.79,86.3
M,1.64,74.7
M,1.74,86.0
M,1.71,81.5
M,1.77,85.7
M,1.7,81.4
M,1.76,92.8
M,1.79,86.6
M,1.59,69.8
M,1.81,95.3
M,1.65,76.5
M,1.77,93.7
M,1.87,96.1
M,1.73,80.5
M,1.81,87.5
M,1.73,80.8
M,1.72,72.2
M,1.73,77.4
M,1.85,93.3
M,1.78,83.1
M,1.73,85.4
M,1.75,87.3
M,1.72,84.4
M,1.8,83.7
M,1.87,95.8
M,1.6,66.1
M,1.66,73.2
M,1.85,95.8
M,1.75,82.4
M,1.71,73.7
M,1.56,63.4
M,1.86,96.3
M,1.66,71.5
M,1.83,100.1
M,1.8,84.1
M,1.72,82.5
M,1.74,82.9
M,1.79,95.9
M,1.79,89.5
M,1.72,82.8
M,1.84,92.3
M,1.79,87.7
M,1.8,96.2
M,1.77,84.5
M,1.67,84.5
M,1.79,78.9
M,1.77,82.0
M,1.73,83.2
M,1.84,90.3
M,1.8,89.2
M,1.99,115.2
M,1.7,71.2
M,1.76,89.6
M,1.72,80.0
M,1.83,92.8
M,1.72,80.6
M,1.81,91.0
M,1.68,77.2
M,1.72,84.0
M,1.7,77.8
M,1.77,79.9
M,1.65,70.9
M,1.71,76.4
M,1.77,92.2
M,1.86,100.8
M,1.68,74.2
M,1.78,81.9
M,1.82,85.7
M,1.86,100.1
M,1.88,103.5
M,1.71,74.1
M,1.82,88.0
M,1.81,95.4
M,1.73,82.1
M,1.64,70.7
M,1.9,96.8
M,1.72,73.9
M,1.76,84.3
M,1.8,89.2
M,1.76,86.9
M,1.76,78.2
M,1.75,86.5
M,1.7,79.0
M,1.78,88.3
M,1.76,87.2
M,1.82,89.1
M,1.88,97.2
M,1.69,79.3
M,1.57,63.9
M,1.71,75.6
M,1.6,71.8
M,1.83,92.0
M,1.9,95.8
M,1.79,84.3
M,1.67,81.4
M,1.85,90.9
M,1.72,74.7
M,1.54,56.1
M,1.62,69.2
M,1.62,72.9
M,1.84,94.1
M,1.79,91.1
M,1.74,88.0
M,1.69,76.3
M,1.69,78.4
M,1.79,82.9
M,1.72,84.1
M,1.77,89.1
M,1.68,76.6
M,1.74,83.3
M,1.81,89.8
M,1.72,80.4
M,1.7,78.5
M,1.68,84.3
M,1.78,82.8
M,1.73,78.0
M,1.78,83.6
M,1.76,78.9
M,1.77,92.3
M,1.73,77.2
M,1.77,82.4
M,1.77,81.7
M,1.77,88.9
M,1.81,87.5
M,1.66,72.1
M,1.71,85.8
M,1.77,87.1
M,1.75,85.2
M,1.78,85.7
M,1.73,90.7
M,1.75,85.1
M,1.66,73.4
M,1.78,84.2
M,1.84,96.1
M,1.85,84.5
M,1.76,83.6
M,1.78,93.4
M,1.72,81.2
M,1.81,88.2
M,1.65,80.6
M,1.84,90.3
M,1.67,67.3
M,1.84,92.1
M,1.61,71.1
M,1.84,95.0
M,1.74,87.3
M,1.72,80.0
M,1.71,75.7
M,1.63,66.2
M,1.77,85.1
M,1.78,91.6
M,1.7,73.3
M,1.73,76.7
M,1.69,83.3
M,1.81,89.7
M,1.81,95.8
M,1.76,89.0
M,1.8,90.6
M,1.73,81.2
M,1.75,77.3
M,1.59,68.4
M,1.66,76.3
M,1.81,83.6
M,1.75,90.0
M,1.68,80.1
M,1.81,93.3
M,1.65,75.6
M,1.73,89.6
M,1.59,75.3
M,1.64,71.0
M,1.76,81.0
M,1.68,85.0
M,1.78,83.0
M,1.8,83.3
M,1.77,81.0
M,1.75,88.6
M,1.73,85.1
M,1.76,86.5
M,1.76,79.1
M,1.72,78.9
M,1.72,80.3
M,1.84,85.8
M,1.69,81.8
M,1.71,84.2
M,1.82,93.4
M,1.67,78.4
M,1.73,84.7
M,1.87,101.3
M,1.73,82.7
M,1.71,85.5
M,1.83,96.6
M,1.79,90.7
M,1.73,82.5
M,1.82,87.6
M,1.74,83.7
M,1.77,89.5
M,1.78,89.2
M,1.77,83.5
M,1.77,80.3
M,1.66,86.2
M,1.73,81.0
M,1.71,78.2
M,1.82,91.1
M,1.71,79.2
M,1.82,91.1
M,1.77,82.5
M,1.71,77.2
M,1.79,84.7
M,1.8,90.9
M,1.73,76.2
M,1.77,87.0
M,1.8,83.8
M,1.77,83.8
M,1.73,75.5
M,1.84,94.2
M,1.92,104.8
M,1.74,82.3
M,1.82,87.7
M,1.75,80.4
M,1.77,86.3
M,1.84,103.5
M,1.79,87.5
M,1.83,92.1
M,1.64,78.7
M,1.73,75.8
M,1.71,74.8
M,1.78,84.8
M,1.74,83.6
M,1.69,80.0
M,1.85,87.6
M,1.73,91.1
M,1.71,82.5
M,1.82,91.4
M,1.78,81.5
M,1.89,103.3
M,1.81,95.6
M,1.63,70.0
M,1.67,73.9
M,1.72,88.8
M,1.63,69.3
M,1.84,90.1
M,1.71,76.0
M,1.69,80.4
M,1.76,90.0
M,1.84,85.8
M,1.79,88.9
M,1.82,97.4
M,1.81,93.4
M,1.69,77.1
M,1.86,99.2
M,1.82,94.9
M,1.75,78.1
M,1.9,107.8
M,1.61,74.6
M,1.8,86.4
M,1.76,82.4
M,1.71,77.8
M,1.78,86.2
M,1.87,100.9
M,1.66,83.7
M,1.74,86.8
M,1.76,84.2
M,1.79,95.3
M,1.88,91.8
M,1.71,65.4
M,1.85,84.9
M,1.83,98.7
M,1.75,83.0
M,1.69,79.5
M,1.8,82.5
M,1.8,92.2
M,1.78,85.4
M,1.7,74.6
M,1.68,69.4
M,1.8,99.7
M,1.8,84.3
M,1.75,86.9
M,1.77,89.2
M,1.71,83.3
M,1.71,80.3
M,1.7,80.4
M,1.81,85.3
M,1.59,66.2
M,1.77,82.9
M,1.78,78.8
M,1.81,88.2
M,1.7,78.7
M,1.65,68.7
M,1.78,89.9
M,1.68,91.7
M,1.86,93.2
M,1.76,84.0
M,1.82,89.5
M,1.72,76.6
M,1.79,91.5
M,1.87,91.8
M,1.93,104.5
M,1.81,97.2
M,1.73,87.2
M,1.7,82.0
M,1.78,84.6
M,1.66,78.0
M,1.82,92.2
M,1.82,92.3
M,1.66,73.0
M,1.77,84.9
M,1.89,99.7
M,1.67,79.3
M,1.85,95.1
M,1.79,93.7
M,1.68,81.0
M,1.68,75.5
M,1.56,68.0
M,1.88,97.2
M,1.83,96.9
M,1.88,92.7
M,1.82,94.4
M,1.76,93.8
M,1.67,73.1
M,1.83,90.9
M,1.69,76.1
M,1.71,83.5
M,1.82,93.3
M,1.65,78.9
M,1.78,80.1
M,1.61,72.2
M,1.73,78.6
M,1.75,88.5
M,1.82,96.7
M,1.76,83.8
M,1.8,93.2
M,1.68,86.8
M,1.8,94.0
M,1.68,76.8
M,1.69,79.4
M,1.65,74.4
M,1.74,90.5
M,1.75,80.8
M,1.84,87.8
M,1.83,95.7
M,1.74,83.7
M,1.78,94.4
M,1.84,97.7
M,1.79,89.7
M,1.78,89.4
M,1.77,86.2
M,1.72,77.1
M,1.69,74.1
M,1.68,76.3
M,1.82,86.3
M,1.94,96.9
M,1.62,72.0
M,1.76,80.7
M,1.85,95.5
M,1.7,79.4
M,1.76,84.8
M,1.71,74.5
M,1.75,84.4
M,1.81,89.0
M,1.71,79.1
M,1.7,80.2
M,1.88,102.0
M,1.75,96.7
M,1.78,88.6
M,1.64,77.7
M,1.61,69.9
M,1.69,81.5
M,1.75,90.6
M,1.65,69.7
M,1.77,84.0
M,1.66,77.6
M,1.66,73.4
M,1.69,84.4
M,1.84,101.9
M,1.62,70.5
M,1.74,84.2
M,1.75,86.8
M,1.75,78.0
M,1.66,80.3
M,1.82,88.2
M,1.84,103.8
M,1.77,79.6
M,1.74,92.0
M,1.72,80.1
M,1.83,96.7
M,1.77,80.4
M,1.77,96.1
M,1.8,88.8
M,1.75,87.0
M,1.75,75.9
M,1.86,95.3
M,1.78,96.9
M,1.72,77.7
M,1.78,96.0
M,1.72,85.6
M,1.71,84.8
M,1.74,87.3
M,1.73,87.8
M,1.69,80.9
M,1.82,80.7
M,1.77,76.5
M,1.73,82.7
M,1.78,89.8
M,1.7,85.8
M,1.84,95.6
M,1.76,89.2
M,1.76,82.6
M,1.78,78.4
M,1.78,88.1
M,1.89,103.3
M,1.7,74.5
M,1.79,86.6
M,1.66,76.0
M,1.69,84.2
M,1.77,82.2
M,1.83,96.2
M,1.77,82.2
M,1.83,87.0
M,1.85,93.8
M,1.85,90.0
M,1.69,75.0
M,1.71,79.1
M,1.89,106.5
M,1.78,84.7
M,1.79,89.1
M,1.86,101.8
M,1.72,77.3
M,1.69,76.2
M,1.72,86.5
M,1.59,60.0
M,1.75,86.3
M,1.72,78.3
M,1.73,80.6
M,1.84,96.7
M,1.96,114.0
M,1.71,85.7
M,1.7,82.7
M,1.82,98.6
M,1.72,78.7
M,1.66,75.3
M,1.76,95.5
M,1.78,90.1
M,1.67,72.2
M,1.68,79.8
M,1.69,75.2
M,1.77,82.2
M,1.75,83.1
M,1.7,74.8
M,1.75,83.2
M,1.7,75.5
M,1.62,72.1
M,1.78,89.4
M,1.84,93.2
M,1.81,90.5
M,1.68,81.3
M,1.73,82.9
M,1.76,90.9
M,1.73,79.1
M,1.83,98.9
M,1.82,92.0
M,1.87,101.9
M,1.79,79.7
M,1.84,98.8
M,1.76,80.9
M,1.77,93.1
M,1.66,72.0
M,1.76,93.8
M,1.72,92.3
M,1.73,83.2
M,1.71,75.5
M,1.8,82.6
M,1.75,77.4
M,1.81,91.9
M,1.7,85.2
M,1.66,71.3
M,1.79,87.4
M,1.73,82.4
M,1.81,94.9
M,1.64,76.6
M,1.67,78.9
M,1.73,75.5
M,1.79,83.4
M,1.86,101.9
M,1.87,99.1
M,1.83,96.9
M,1.88,94.5
M,1.89,96.7
M,1.78,88.4
M,1.82,87.7
M,1.75,84.6
M,1.71,79.9
M,1.79,97.2
M,1.7,69.5
M,1.73,76.4
M,1.77,79.3
M,1.71,78.5
M,1.77,86.0
M,1.71,84.9
M,1.72,81.2
M,1.74,82.3
M,1.75,87.3
M,1.81,89.1
M,1.78,81.8
M,1.82,96.0
M,1.65,73.5
M,1.76,87.6
M,1.69,83.8
M,1.64,74.2
M,1.72,84.6
M,1.77,91.6
M,1.7,82.9
M,1.75,83.1
M,1.76,91.7
M,1.68,76.4
M,1.79,96.4
M,1.79,89.9
M,1.62,70.0
M,1.79,83.6
M,1.85,102.0
M,1.84,91.1
M,1.6,65.7
M,1.7,78.4
M,2.0,111.5
M,1.74,88.1
M,1.65,67.7
M,1.83,93.9
M,1.73,86.3
M,1.81,94.3
M,1.79,91.1
M,1.87,100.1
M,1.62,72.3
M,1.7,82.5
M,1.79,84.3
M,1.83,90.1
M,1.84,95.4
M,1.72,81.7
M,1.79,87.3
M,1.82,91.6
M,1.72,80.4
M,1.9,103.0
M,1.72,91.8
M,1.71,76.0
M,1.86,98.6
M,1.63,79.3
M,1.86,96.3
M,1.75,90.6
M,1.79,92.5
M,1.76,70.5
M,1.78,87.4
M,1.77,90.6
M,1.81,93.3
M,1.66,78.8
M,1.7,85.3
M,1.78,90.6
M,1.76,87.3
M,1.63,69.5
M,1.81,89.0
M,1.62,76.6
M,1.76,97.3
M,1.75,80.3
M,1.76,82.6
M,1.75,80.4
M,1.73,80.1
M,1.86,91.7
M,1.78,91.3
M,1.89,95.4
M,1.83,99.0
M,1.75,84.3
M,1.83,94.3
M,1.76,88.6
M,1.6,70.1
M,1.6,63.5
M,1.72,89.8
M,1.86,96.0
M,1.69,83.1
M,1.7,82.9
M,1.68,80.4
M,1.72,72.4
M,1.63,71.1
M,1.75,74.7
M,1.73,80.6
M,1.95,107.1
M,1.8,89.5
M,1.79,89.0
M,1.77,90.9
M,1.87,97.6
M,1.83,94.7
M,1.68,84.8
M,1.7,81.0
M,1.81,95.3
M,1.69,70.7
M,1.83,92.4
M,1.87,94.2
M,1.75,91.6
M,1.85,96.0
M,1.88,102.2
M,1.84,79.5
M,1.77,83.5
M,1.58,64.5
M,1.7,77.9
M,1.69,87.1
M,1.79,81.0
M,1.78,85.4
M,1.8,93.7
M,1.78,91.3
M,1.81,91.8
M,1.65,72.7
M,1.59,67.2
M,1.72,79.6
M,1.85,101.7
M,1.74,82.6
M,1.66,72.1
M,1.62,67.5
M,1.83,92.6
M,1.78,97.0
M,1.79,86.6
M,1.86,96.8
M,1.76,87.6
M,1.78,90.3
M,1.8,92.5
M,1.8,93.3
M,1.79,83.4
M,1.77,92.2
M,1.75,92.6
M,1.91,101.7
M,1.78,85.6
M,1.84,94.2
M,1.82,93.9
M,1.85,87.1
M,1.81,92.8
M,1.75,87.5
M,1.71,89.6
M,1.82,90.7
M,1.75,85.0
M,1.68,75.6
M,1.77,82.7
M,1.67,72.6
M,1.62,70.8
M,1.67,70.9
M,1.75,77.9
M,1.69,75.9
M,1.76,94.8
M,1.73,84.0
M,1.75,78.4
M,1.82,91.9
M,1.65,77.1
M,1.81,92.2
M,1.72,79.7
M,1.66,73.8
M,1.68,80.9
M,1.62,67.7
M,1.76,78.8
M,1.88,95.1
M,1.78,86.6
M,1.63,66.9
M,1.7,87.0
M,1.77,88.2
M,1.76,90.2
M,1.72,81.3
M,1.64,76.7
M,1.63,64.6
M,1.81,96.5
M,1.82,89.1
M,1.7,77.9
M,1.59,63.5
M,1.79,91.3
M,1.7,79.0
M,1.94,104.0
M,1.82,96.6
M,1.75,88.4
M,1.81,101.8
M,1.82,95.3
M,1.73,86.9
M,1.77,79.0
M,1.96,113.0
M,1.71,82.7
M,1.7,73.3
M,1.68,77.5
M,1.73,77.8
M,1.82,87.3
M,1.72,80.8
M,1.74,85.5
M,1.67,86.2
M,1.94,110.3
M,1.79,97.1
M,1.56,61.9
M,1.77,90.1
M,1.62,70.4
M,1.71,79.6
M,1.76,87.3
M,1.76,84.5
M,1.71,83.3
M,1.72,86.1
M,1.75,83.1
M,1.68,66.3
M,1.71,83.0
M,1.74,92.8
M,1.72,79.8
M,1.82,89.1
M,1.71,82.8
M,1.75,83.8
M,1.77,83.5
M,1.74,81.0
M,1.79,82.2
M,1.77,90.6
M,1.64,75.8
M,1.77,93.7
M,1.8,90.2
M,1.73,86.1
M,1.7,83.1
M,1.69,75.1
M,1.79,85.0
M,1.89,100.8
M,1.76,78.6
M,1.76,85.7
M,1.89,96.9
M,1.77,87.9
M,1.75,79.1
M,1.8,92.2
M,1.89,92.7
M,1.81,90.2
M,1.83,92.2
M,1.61,66.9
M,1.73,82.4
M,1.75,86.4
M,1.75,85.4
M,1.7,78.3
M,1.58,63.7
M,1.86,100.6
M,1.76,78.4
M,1.75,89.0
M,1.68,74.1
M,1.8,91.3
M,1.87,90.2
M,1.85,91.2
M,1.78,89.3
M,1.72,84.8
M,1.65,71.2
M,1.77,82.2
M,1.84,85.8
M,1.85,95.3
M,1.79,89.2
M,1.88,98.7
M,1.67,77.0
M,1.71,83.6
M,1.69,82.5
M,1.76,79.2
M,1.89,104.1
M,1.77,87.5
M,1.79,90.7
M,1.73,77.8
M,1.8,86.5
M,1.82,89.5
M,1.72,83.3
M,1.79,87.7
M,1.75,82.3
M,1.67,74.6
M,1.77,87.8
M,1.69,78.2
M,1.73,88.4
M,1.86,92.1
M,1.56,58.4
M,1.75,80.3
M,1.77,81.5
M,1.84,92.5
M,1.74,80.8
M,1.85,91.1
M,1.74,84.2
M,1.75,88.1
M,1.8,90.6
M,1.86,100.4
M,1.69,85.4
M,1.71,78.5
M,1.88,91.3
M,1.78,86.9
M,1.66,75.2
M,1.76,92.3
M,1.89,96.2
M,1.71,71.9
M,1.78,92.9
M,1.67,71.8
M,1.77,82.4
M,1.65,78.4
M,1.68,76.2
M,1.69,72.4
M,1.69,77.9
M,1.82,94.8
M,1.68,73.8
M,1.83,96.7
M,1.71,83.8
M,1.76,79.9
M,1.7,75.5
M,1.86,91.4
M,1.74,86.6
M,1.82,88.5
M,1.81,96.2
M,1.7,76.2
M,1.81,97.6
M,1.67,77.4
M,1.71,88.7
M,1.67,74.0
M,1.86,101.5
M,1.66,74.9
M,1.66,70.9
M,1.84,90.7
M,1.7,79.9
M,1.69,81.2
M,1.75,80.2
M,1.83,93.7
M,1.9,97.6
M,1.82,90.4
M,1.68,78.2
M,1.75,87.1
M,1.65,66.8
M,1.81,83.5
M,1.71,78.5
M,1.75,78.6
M,1.81,82.1
M,1.62,73.6
M,1.78,83.4
M,1.77,93.7
M,1.65,75.9
M,1.82,95.4
M,1.85,96.5
M,1.69,76.8
M,1.77,77.7
M,1.63,74.6
M,1.84,96.1
M,1.81,94.6
M,1.75,79.9
M,1.92,99.3
M,1.7,80.5
M,1.86,88.4
M,1.67,79.6
M,1.75,79.2
M,1.76,84.5
M,1.73,78.9
M,1.76,85.4
M,1.74,90.7
M,1.8,86.0
M,1.8,93.8
M,1.77,85.6
M,1.9,112.9
M,1.74,83.3
M,1.79,89.1
M,1.71,76.4
M,1.65,80.9
M,1.8,89.1
M,1.8,89.0
M,1.84,90.2
M,1.79,93.2
M,1.92,108.6
M,1.65,77.1
M,1.76,86.8
M,1.73,85.0
M,1.83,97.6
M,1.83,92.7
M,1.88,103.1
M,1.67,82.3
M,1.86,90.7
M,1.87,89.6
M,1.64,78.9
M,1.68,82.5
M,1.68,80.6
M,1.74,81.3
M,1.71,83.0
M,1.74,83.6
M,1.82,104.2
M,1.82,90.6
M,1.74,83.1
M,1.84,92.9
M,1.77,84.7
M,1.69,76.2
M,1.73,81.7
M,1.79,85.5
M,1.71,75.9
M,1.82,87.7
M,1.69,82.9
M,1.73,86.3
M,1.73,82.4
M,1.66,83.4
M,1.77,84.6
M,1.67,77.4
M,1.8,97.6
M,1.82,88.7
M,1.88,101.4
M,1.83,97.7
M,1.68,76.4
M,1.75,89.1
M,1.74,83.3
M,1.65,74.5
M,1.87,101.4
M,1.77,80.0
M,1.75,82.0
M,1.72,76.5
M,1.7,79.3
M,1.77,85.3
M,1.79,90.4
M,1.67,78.6
M,1.65,74.1
M,1.91,104.0
M,1.72,75.4
M,1.78,93.7
M,1.87,98.0
M,1.78,87.3
M,1.83,82.2
M,1.82,94.2
M,1.73,86.4
M,1.75,85.6
M,1.75,90.6
M,1.77,88.7
M,1.68,75.3
M,1.64,74.7
M,1.81,92.5
M,1.79,84.9
M,1.73,76.9
M,1.7,79.7
M,1.82,94.3
M,1.82,89.8
M,1.71,87.4
M,1.67,73.9
M,1.76,93.0
M,1.69,76.1
M,1.72,78.6
M,1.86,93.5
M,1.76,84.1
M,1.87,90.5
M,1.77,89.5
M,1.67,74.5
M,1.92,93.7
M,1.67,81.9
M,1.79,90.3
M,1.83,88.7
M,1.8,87.4
M,1.84,102.3
M,1.53,69.8
M,1.82,87.5
M,1.74,74.1
M,1.79,85.1
M,1.78,99.7
M,1.71,79.4
M,1.7,79.4
M,1.68,73.7
M,1.66,76.8
M,1.74,88.4
M,1.77,79.8
M,1.88,99.1
M,1.73,84.0
M,1.77,90.8
M,1.74,87.2
M,1.75,84.5
M,1.74,84.5
M,1.78,83.5
M,1.67,71.1
M,1.68,74.3
M,1.72,80.6
M,1.74,82.6
